Código;Descrição;Situação;Situação Conferência;Situação Sorter;Cod. SKU;Num. Picking;Num. Pedido;Num. Caixa Plástica;Num. Endereço;Num. Posto;Num. Conferencia;Num. Controle;Cor LED;Data Início;Data Finalização;Data Conferência;Quantidade;Quantidade Separada;Quantidade Conferida;Usuário Operador;Usuário Conferência;Livre 1;Livre 2;Livre 3;Livre 4;Livre 5;Livre 6;Livre 6;Livre 6;Livre 6;Livre 10;
601147;PREGO C/CAB.17x21                           GERDAU;F;F;;977;0000321711;3617246;321711;154552;7;1;;;30/09/2025 01:06;30/09/2025 02:49;30/09/2025 03:00;3;0;0;JULIO.CARVALHO;LUIS.ALMEIDA;1;558775;PAPELAO;110459;20;PAPELAO;47627;7891738018930;PESADO;KILO;
601145;ESMALTE METALATEX ECO AB.BRANCO        1/4-SHERWIN;F;F;;17510;0000321711;3617246;321711;150671;6;1;;;30/09/2025 01:06;30/09/2025 02:39;30/09/2025 03:00;2;2;2;GUSTAVO.SANTANA;LUIS.ALMEIDA;1;558786;PAPELAO;110459;20;PAPELAO;47627;7891323049448;PESADO;PEÇA;
601146;TORN.MESA LAV.MOVEL MARUJA BR.              -VIQUA;F;F;;8361;0000321711;3617246;321711;157516;7;1;;;30/09/2025 01:06;30/09/2025 02:50;30/09/2025 03:00;2;2;2;JULIO.CARVALHO;LUIS.ALMEIDA;1;558807;PAPELAO;110459;20;PAPELAO;47627;7898010800641;PESADO;PEÇA;
601148;DUREPOXI 50gr.                              HENKEL;F;F;;219;0000321711;3617246;321711;151070;8;1;;;30/09/2025 01:06;30/09/2025 02:51;30/09/2025 03:00;1;1;1;CARLOS.FERREIRA;LUIS.ALMEIDA;1;558800;PAPELAO;110459;20;PAPELAO;47627;7891200007936;PESADO;CAIXA TEMP 2;
601149;DUREPOXI 50gr.                              HENKEL;F;F;;219;0000321712;3617246;321712;151070;8;1;;;30/09/2025 01:06;30/09/2025 01:17;30/09/2025 01:58;1;1;1;LUCAS.JESUS;LENILSONL;1;558800;PAPELAO;110459;20;PAPELAO;47627;7891200007936;PESADO;CAIXA TEMP 2;
601151;COLHER PEDREIRO 09"                      233029-HF;F;F;;610;0000321712;3617246;321712;151095;8;1;;;30/09/2025 01:06;30/09/2025 01:17;30/09/2025 01:58;2;2;2;LUCAS.JESUS;LENILSONL;1;558761;PAPELAO;110459;20;PAPELAO;47627;7893590282597;PESADO;PEÇA;
601150;ESMALTE EXTRA RAPIDO AB.PRETO       1/16-RESICOLOR;F;F;;31406;0000321712;3617246;321712;154589;8;1;;;30/09/2025 01:06;30/09/2025 01:18;30/09/2025 01:58;12;12;12;LUCAS.JESUS;LENILSONL;1;558756;PAPELAO;110459;20;PAPELAO;47627;7896155105294;PESADO;PEÇA;
601152;SUP.P/TV FIXO UNIV.10" A 90" PR. SBRU951-BRASFORMA;F;F;;31582;0000321712;3617246;321712;150778;9;1;;;30/09/2025 01:06;30/09/2025 01:19;30/09/2025 01:58;4;4;4;ARTHUR.SILVA;LENILSONL;1;558806;PAPELAO;110459;20;PAPELAO;47627;7896689119422;PESADO;PEÇA;
601156;TOM.DUPLA 10A BR.                  ARIA-TRAMONTINA;F;F;;32015;0000321712;3617246;321712;150782;9;1;;;30/09/2025 01:06;30/09/2025 01:19;30/09/2025 01:58;4;4;4;ARTHUR.SILVA;LENILSONL;1;558777;PAPELAO;110459;20;PAPELAO;47627;7891435933888;PESADO;PEÇA;
601154;INT.1S.+TOM.10A                    ARIA-TRAMONTINA;F;F;;31997;0000321712;3617246;321712;151465;9;1;;;30/09/2025 01:06;30/09/2025 01:20;30/09/2025 01:58;4;4;4;ARTHUR.SILVA;LENILSONL;1;558751;PAPELAO;110459;20;PAPELAO;47627;7891435938081;PESADO;PEÇA;
601153;FITA EMBALAGEM TRANSPARENTE(48x50m)TARTAN C/4   3M;F;F;;30672;0000321712;3617246;321712;154792;9;1;;;30/09/2025 01:06;30/09/2025 01:20;30/09/2025 01:58;1;1;1;ARTHUR.SILVA;LENILSONL;1;558746;PAPELAO;110459;20;PAPELAO;47627;7891040339150;PESADO;AMARRADO;
601155;ESPUDE IDEAL STANDARD                    BS6-ASTRA;F;F;;8273;0000321712;3617246;321712;157817;9;1;;;30/09/2025 01:06;30/09/2025 01:20;30/09/2025 01:58;2;2;2;ARTHUR.SILVA;LENILSONL;1;558765;PAPELAO;110459;20;PAPELAO;47627;7891222048832;PESADO;PEÇA;
601161;BASE TOM.RET.SOB.10A BR.            16516PCT-ILUMI;F;F;;17804;0000321712;3617246;321712;151627;10;1;;;30/09/2025 01:06;30/09/2025 01:21;30/09/2025 01:58;1;1;1;ARTHUR.SILVA;LENILSONL;1;558771;PAPELAO;110459;20;PAPELAO;47627;7898322642984;PESADO;CAIXA;
601160;ADESIVO PU40 PR.360gr MULTIUSO      PU033-PULVITEC;F;F;;33017;0000321712;3617246;321712;151663;10;1;;;30/09/2025 01:06;30/09/2025 01:21;30/09/2025 01:58;2;2;2;ARTHUR.SILVA;LENILSONL;1;558747;PAPELAO;110459;20;PAPELAO;47627;7896038108176;PESADO;PEÇA;
601157;FECH.PORTAO SOBREPOR PR.             97372-SILVANA;F;F;;37626;0000321712;3617246;321712;158014;10;1;;;30/09/2025 01:06;30/09/2025 01:21;30/09/2025 01:58;2;2;2;ARTHUR.SILVA;LENILSONL;1;558740;PAPELAO;110459;20;PAPELAO;47627;7898631037372;PESADO;PEÇA;
601158;ESMALTE EXTRA RAPIDO AB.BRANCO      1/16-RESICOLOR;F;F;;31390;0000321712;3617246;321712;151550;10;1;;;30/09/2025 01:06;30/09/2025 01:20;30/09/2025 01:58;12;12;12;ARTHUR.SILVA;LENILSONL;1;558792;PAPELAO;110459;20;PAPELAO;47627;7896155105133;PESADO;PEÇA;
601159;ANTENA INTERNA C/CABO 1,20cm JADE            CAPTE;F;F;;32044;0000321712;3617246;321712;151587;10;1;;;30/09/2025 01:06;30/09/2025 01:21;30/09/2025 01:58;2;2;2;ARTHUR.SILVA;LENILSONL;1;558804;PAPELAO;110459;20;PAPELAO;47627;7899773501615;PESADO;PEÇA;
601163;TALHADEIRA CHATA 5/16X12"               -SAO ROMAO;F;F;;3780;0000321712;3617246;321712;158095;11;1;;;30/09/2025 01:06;30/09/2025 01:23;30/09/2025 01:58;2;2;2;YAN.PABLO;LENILSONL;1;558757;PAPELAO;110459;20;PAPELAO;47627;7898089528484;PESADO;PEÇA;
601164;VALV.TANQUE 1.1/4" CR.                 VT001-ALPHA;F;F;;31489;0000321712;3617246;321712;158214;11;1;;;30/09/2025 01:06;30/09/2025 01:23;30/09/2025 01:58;1;1;1;YAN.PABLO;LENILSONL;1;558778;PAPELAO;110459;20;PAPELAO;47627;7898538960025;PESADO;PEÇA;
601162;ESPATULA CB.PLASTICO 06cm ACO          175/6-ATLAS;F;F;;24652;0000321712;3617246;321712;158258;11;1;;;30/09/2025 01:06;30/09/2025 01:23;30/09/2025 01:58;2;2;2;YAN.PABLO;LENILSONL;1;558755;PAPELAO;110459;20;PAPELAO;47627;7896380191604;PESADO;PEÇA;
601165;PARAF.SEXT.ROSCA SOBERBA 1/4x80        C/100-04980;F;F;;21210;0000321713;3617246;321713;158140;11;1;;;30/09/2025 01:06;30/09/2025 01:26;30/09/2025 03:04;1;1;1;YAN.PABLO;LUIS.ALMEIDA;1;558780;PAPELAO;110459;20;PAPELAO;47627;7892183049807;PESADO;CAIXA;
601166;JG.CH.TORX 08pcs CANIVETE                 91057-HF;F;F;;12318;0000321713;3617246;321713;151732;11;1;;;30/09/2025 01:06;30/09/2025 01:25;30/09/2025 03:04;2;2;2;YAN.PABLO;LUIS.ALMEIDA;1;558781;PAPELAO;110459;20;PAPELAO;47627;7893595621049;PESADO;PEÇA;
601167;CONECTOR BIP.LOUCA FIO 16mm          1409-THOMPSON;F;F;;29426;0000321713;3617246;321713;158094;11;1;;;30/09/2025 01:06;30/09/2025 01:26;30/09/2025 03:04;1;1;1;YAN.PABLO;LUIS.ALMEIDA;1;558782;PAPELAO;110459;20;PAPELAO;47627;7898011977199;PESADO;CAIXA;
601168;ABRAC.NYLON 4,8x200mm PRETA      C/20pcs-222521-HF;F;F;;2074;0000321713;3617246;321713;155098;12;1;;;30/09/2025 01:06;30/09/2025 01:39;30/09/2025 03:04;3;3;3;RICHARD.TOMAZ;LUIS.ALMEIDA;1;558749;PAPELAO;110459;20;PAPELAO;47627;7893590283464;PESADO;PEÇA;
601169;ESMALTE EXTRA RAPIDO AB.VD FOLHA    1/16-RESICOLOR;F;F;;31403;0000321713;3617246;321713;155102;12;1;;;30/09/2025 01:06;30/09/2025 01:40;30/09/2025 03:04;2;2;2;RICHARD.TOMAZ;LUIS.ALMEIDA;1;558770;PAPELAO;110459;20;PAPELAO;47627;7896155115422;PESADO;PEÇA;
601171;ESCOVA ACO 05 FILEIRAS S/CB.MAD.         4060-ROMA;F;F;;12651;0000321713;3617246;321713;150967;13;1;;;30/09/2025 01:06;30/09/2025 01:56;30/09/2025 03:04;2;0;0;ISRAEL.LAURINDO;LUIS.ALMEIDA;1;558742;PAPELAO;110459;20;PAPELAO;47627;7891595001373;PESADO;PEÇA;
601172;PINO MACHO 3P 10A CZ.                  1043-PERLEX;F;F;;11699;0000321713;3617246;321713;155315;13;1;;;30/09/2025 01:06;30/09/2025 01:53;30/09/2025 03:04;1;1;1;ISRAEL.LAURINDO;LUIS.ALMEIDA;1;558793;PAPELAO;110459;20;PAPELAO;47627;7891128104311;PESADO;CAIXA TEMP 3;
601170;TORN.PAREDE MAQ.LAVAR MARUJA BR.C/BICO      -VIQUA;F;F;;10586;0000321713;3617246;321713;151295;13;1;;;30/09/2025 01:06;30/09/2025 01:53;30/09/2025 03:04;3;3;3;ISRAEL.LAURINDO;LUIS.ALMEIDA;1;558741;PAPELAO;110459;20;PAPELAO;47627;7898010801181;PESADO;PEÇA;
601173;CURVA 90º ESGOTO CURTA 40MM                FORTLEV;F;F;;26897;0000321713;3617246;321713;163099;13;1;;;30/09/2025 01:06;30/09/2025 01:53;30/09/2025 03:04;1;1;1;ISRAEL.LAURINDO;LUIS.ALMEIDA;1;558784;PAPELAO;110459;20;PAPELAO;47627;17898543591921;PESADO;PACOTE;
601175;SIFAO AJUST.MULTIUSO BR.1,50m           -UNIFORTTE;F;F;;33504;0000321713;3617246;321713;151218;14;1;;;30/09/2025 01:06;30/09/2025 02:00;30/09/2025 03:04;6;6;6;ALEX.FREITAS;LUIS.ALMEIDA;1;558766;PAPELAO;110459;20;PAPELAO;47627;7898542181058;PESADO;PEÇA;
601174;FITA DUPLA FACE ESPUMA(24x2,0m)           ADELBRAS;F;F;;10909;0000321713;3617246;321713;155483;14;1;;;30/09/2025 01:06;30/09/2025 02:00;30/09/2025 03:04;4;4;4;ALEX.FREITAS;LUIS.ALMEIDA;1;558809;PAPELAO;110459;20;PAPELAO;47627;7896603803123;PESADO;PEÇA;
601178;LAMP.LED 40W/6500K                          -AVANT;F;F;;23909;0000321713;3617246;321713;150515;15;1;;;30/09/2025 01:06;30/09/2025 02:04;30/09/2025 03:04;1;1;1;CARLOS.EDUARDO;LUIS.ALMEIDA;1;558745;PAPELAO;110459;20;PAPELAO;47627;7899452032706;PESADO;PEÇA;
601180;CASCOLA S/TOLUOL EXTRA 30gr.                HENKEL;F;F;;227;0000321713;3617246;321713;150527;15;1;;;30/09/2025 01:06;30/09/2025 02:04;30/09/2025 03:04;3;3;3;CARLOS.EDUARDO;LUIS.ALMEIDA;1;558776;PAPELAO;110459;20;PAPELAO;47627;7891200007868;PESADO;PEÇA;
601177;CORANTE LIQUIDO MARROM 50ML                -XADREZ;F;F;;1675;0000321713;3617246;321713;150552;15;1;;;30/09/2025 01:06;30/09/2025 02:04;30/09/2025 03:04;1;1;1;CARLOS.EDUARDO;LUIS.ALMEIDA;1;558744;PAPELAO;110459;20;PAPELAO;47627;7891323075249;PESADO;CAIXA TEMP 2;
601176;RASPADOR REJUNTE 50mm                    225905-HF;F;F;;18302;0000321713;3617246;321713;155660;15;1;;;30/09/2025 01:06;30/09/2025 02:05;30/09/2025 03:04;1;1;1;CARLOS.EDUARDO;LUIS.ALMEIDA;1;558794;PAPELAO;110459;20;PAPELAO;47627;6922711089119;PESADO;PEÇA;
601179;PINO MACHO 2P 10A CZ.                  1041-PERLEX;F;F;;81885;0000321713;3617246;321713;158727;15;1;;;30/09/2025 01:06;30/09/2025 02:05;30/09/2025 03:04;1;1;1;CARLOS.EDUARDO;LUIS.ALMEIDA;1;558754;PAPELAO;110459;20;PAPELAO;47627;7891128310415;PESADO;CAIXA;
601182;DESEMP.P/GRAFIATO 08x16cm              590 PL-ROMA;F;F;;1875;0000321713;3617246;321713;150915;16;1;;;30/09/2025 01:06;30/09/2025 02:12;30/09/2025 03:04;3;3;3;BRUNO.SILVA;LUIS.ALMEIDA;1;558759;PAPELAO;110459;20;PAPELAO;47627;7891595002691;PESADO;PEÇA;
601181;COLA BR.PVA  500gr POLYFORT         LA002-PULVITEC;F;F;;60135;0000321713;3617246;321713;150487;16;1;;;30/09/2025 01:06;30/09/2025 02:48;30/09/2025 03:04;2;0;0;BRUNO.SILVA;LUIS.ALMEIDA;1;558799;PAPELAO;110459;20;PAPELAO;47627;7896038102440;PESADO;PEÇA;
601183;NIVEL ALUMINIO 12" 30CM              1177-THOMPSON;F;F;;23724;0000321714;3617246;321714;150905;16;1;;;30/09/2025 01:06;30/09/2025 01:34;30/09/2025 02:43;3;3;3;BRUNO.SILVA;LUIS.ALMEIDA;1;558772;PAPELAO;110459;20;PAPELAO;47627;7898011973689;PESADO;PEÇA;
601184;RESIST.ORIG.SHOWER ULTRA 127V/5500W 3065I-LORENZET;F;F;;27550;0000321714;3617246;321714;158897;16;1;;;30/09/2025 01:06;30/09/2025 01:35;30/09/2025 02:43;1;1;1;BRUNO.SILVA;LUIS.ALMEIDA;1;558773;PAPELAO;110459;20;PAPELAO;47627;7896451880574;PESADO;PEÇA;
601186;CONECTOR PERFURANTE PIRANHA 10/70MM     CPP000-MCI;F;F;;32019;0000321714;3617246;321714;150247;17;1;;;30/09/2025 01:06;30/09/2025 01:45;30/09/2025 02:43;3;3;3;FABRICIO.SILVA;LUIS.ALMEIDA;1;558788;PAPELAO;110459;20;PAPELAO;47627;7898679360005;PESADO;PEÇA;
601187;DISCO DIAM.CORTE PORCELANATO FINO 110x20mm -NORTON;F;F;;31319;0000321714;3617246;321714;159069;17;1;;;30/09/2025 01:06;30/09/2025 01:47;30/09/2025 02:43;1;1;1;FABRICIO.SILVA;LUIS.ALMEIDA;1;558790;PAPELAO;110459;20;PAPELAO;47627;7891345444115;PESADO;PEÇA;
601185;BROCA ACO RAPIDO 10,00mm                   STANLEY;F;F;;21464;0000321714;3617246;321714;159101;17;1;;;30/09/2025 01:06;30/09/2025 01:48;30/09/2025 02:43;1;1;1;FABRICIO.SILVA;LUIS.ALMEIDA;1;558743;PAPELAO;110459;20;PAPELAO;47627;17896525087622;PESADO;CONJUNTO;
601189;PINO MACHO 3P 20A CZ.                  1048-PERLEX;F;F;;16073;0000321714;3617246;321714;150446;17;1;;;30/09/2025 01:06;30/09/2025 01:46;30/09/2025 02:43;1;1;1;FABRICIO.SILVA;LUIS.ALMEIDA;1;558805;PAPELAO;110459;20;PAPELAO;47627;7891128010605;PESADO;SACO;
601191;ESMALTE EXTRA RAPIDO AB.M.TABACO    1/16-RESICOLOR;F;F;;31397;0000321714;3617246;321714;158969;17;1;;;30/09/2025 01:06;30/09/2025 01:46;30/09/2025 02:43;1;1;1;FABRICIO.SILVA;LUIS.ALMEIDA;1;558760;PAPELAO;110459;20;PAPELAO;47627;7896155105249;PESADO;PEÇA;
601188;ESMALTE EXTRA RAPIDO AB.M.CONHAQUE  1/16-RESICOLOR;F;F;;32253;0000321714;3617246;321714;159045;17;1;;;30/09/2025 01:06;30/09/2025 01:47;30/09/2025 02:43;2;0;0;FABRICIO.SILVA;LUIS.ALMEIDA;1;558802;PAPELAO;110459;20;PAPELAO;47627;7896155105232;PESADO;PEÇA;
601192;DISCO DIAM.LISO AGUA 4.1/2x20mm COMBATT    B CORTE;F;F;;7839;0000321714;3617246;321714;159074;17;1;;;30/09/2025 01:06;30/09/2025 01:48;30/09/2025 02:43;2;2;2;FABRICIO.SILVA;LUIS.ALMEIDA;1;558779;PAPELAO;110459;20;PAPELAO;47627;7898181491204;PESADO;PEÇA;
601190;CONECTOR PERFURANTE PIRANHA 10/120mm 79202-INTELLI;F;F;;28234;0000321714;3617246;321714;159106;17;1;;;30/09/2025 01:06;30/09/2025 01:48;30/09/2025 02:43;1;1;1;FABRICIO.SILVA;LUIS.ALMEIDA;1;558752;PAPELAO;110459;20;PAPELAO;47627;7898519979886;PESADO;SACO;
601193;BROCA WIDIA 10,00mm                        STANLEY;F;F;;21473;0000321714;3617246;321714;156164;18;1;;;30/09/2025 01:06;30/09/2025 01:51;30/09/2025 02:43;1;1;1;RUAN.ARAUJO;LUIS.ALMEIDA;1;558795;PAPELAO;110459;20;PAPELAO;47627;40028877490760;PESADO;CONJUNTO;
601194;RESIST.ORIG 3 TEMP.ULTRA 127V/4600W 065-LORENZETTI;F;F;;25892;0000321714;3617246;321714;159474;19;1;;;30/09/2025 01:06;30/09/2025 01:56;30/09/2025 02:43;2;2;2;RUAN.ARAUJO;LUIS.ALMEIDA;1;558803;PAPELAO;110459;20;PAPELAO;47627;7896451862846;PESADO;PEÇA;
601195;PILHA PALITO ALCALINA Cx.C/30"AAA" LR032S-ALFACELL;F;F;;19247;0000321714;3617246;321714;159452;19;1;;;30/09/2025 01:06;30/09/2025 01:55;30/09/2025 02:43;1;1;1;RUAN.ARAUJO;LUIS.ALMEIDA;1;558808;PAPELAO;110459;20;PAPELAO;47627;27899250614887;PESADO;CAIXA;
601197;PILHA PEQUENA ALCALINA Cx.C30"AA"   LR62S-ALFACELL;F;F;;19248;0000321714;3617246;321714;149998;19;1;;;30/09/2025 01:06;30/09/2025 01:56;30/09/2025 02:43;1;1;1;RUAN.ARAUJO;LUIS.ALMEIDA;1;558785;PAPELAO;110459;20;PAPELAO;47627;27899250614894;PESADO;CAIXA;
601196;CADEADO 20mm LATAO                          PAPAIZ;F;F;;5181;0000321714;3617246;321714;159471;19;1;;;30/09/2025 01:06;30/09/2025 01:56;30/09/2025 02:43;4;4;4;RUAN.ARAUJO;LUIS.ALMEIDA;1;558753;PAPELAO;110459;20;PAPELAO;47627;7891194000319;PESADO;PEÇA;
601200;CAMARA AR P/CARRINHO                      43205-HF;F;F;;17962;0000321714;3617246;321714;152142;101;1;;;30/09/2025 01:06;30/09/2025 01:18;30/09/2025 02:43;1;1;1;YURE.OLIVEIRA;LUIS.ALMEIDA;1;558797;PAPELAO;110459;20;PAPELAO;47627;7893590284232;PESADO;PEÇA;
601199;TORN.PAREDE FILTRO MOVEL PLUS BR.        2880-HERC;F;F;;12574;0000321714;3617246;321714;163446;101;1;;;30/09/2025 01:06;30/09/2025 01:13;30/09/2025 02:43;3;3;3;YURE.OLIVEIRA;LUIS.ALMEIDA;1;558791;PAPELAO;110459;20;PAPELAO;47627;7898059548450;PESADO;PEÇA;
601198;NOVA DUCHA 3T.127v/5500w               D155-SINTEX;F;F;;5850;0000321714;3617246;321714;163358;101;1;;;30/09/2025 01:06;30/09/2025 01:13;30/09/2025 02:43;2;2;2;YURE.OLIVEIRA;LUIS.ALMEIDA;1;558787;PAPELAO;110459;20;PAPELAO;47627;7896697800978;PESADO;PEÇA;
601204;FITA ISOLANTE 05m(18x5m)IMPERIAL                3M;F;F;;6601;0000321715;3617246;321715;163409;101;1;;;30/09/2025 01:06;30/09/2025 01:14;30/09/2025 01:47;2;2;2;YURE.OLIVEIRA;MARCIOS;1;558762;PAPELAO;110459;20;PAPELAO;47627;7891040117314;PESADO;CAIXA TEMP 2;
601202;PLACA 4x2 CEGA BR.               2054/STYLUS-ILUMI;F;F;;85180;0000321715;3617246;321715;163506;101;1;;;30/09/2025 01:06;30/09/2025 01:15;30/09/2025 01:47;1;1;1;YURE.OLIVEIRA;MARCIOS;1;558798;PAPELAO;110459;20;PAPELAO;47627;37898322640585;PESADO;CAIXA;
601203;SIFAO AJUST.MULTIUSO BR.                -UNIFORTTE;F;F;;31021;0000321715;3617246;321715;163314;101;1;;;30/09/2025 01:06;30/09/2025 01:17;30/09/2025 01:47;8;8;8;YURE.OLIVEIRA;MARCIOS;1;558801;PAPELAO;110459;20;PAPELAO;47627;7898542181447;PESADO;PEÇA;
601201;CAMARA AR P/CARRINHO                      43205-HF;F;F;;17962;0000321715;3617246;321715;152142;101;1;;;30/09/2025 01:06;30/09/2025 01:18;30/09/2025 01:47;2;2;2;YURE.OLIVEIRA;MARCIOS;1;558797;PAPELAO;110459;20;PAPELAO;47627;7893590284232;PESADO;PEÇA;
601207;DESEMP.P/GRAFIATO 14x27cm               590/L-ROMA;F;F;;10240;0000321715;3617246;321715;163150;101;1;;;30/09/2025 01:06;30/09/2025 01:19;30/09/2025 01:47;3;3;3;YURE.OLIVEIRA;MARCIOS;1;558774;PAPELAO;110459;20;PAPELAO;47627;7891595001847;PESADO;PEÇA;
601206;FITA DUPLA FACE MASSA ACRILICA 12x02m    -KORETECH;F;F;;31008;0000321715;3617246;321715;163228;101;1;;;30/09/2025 01:06;30/09/2025 01:10;30/09/2025 01:47;6;6;6;YURE.OLIVEIRA;MARCIOS;1;558769;PAPELAO;110459;20;PAPELAO;47627;7908467200809;PESADO;PEÇA;
601205;REGULADOR GAS PQ.ABS CZ.                     -IMAR;F;F;;20165;0000321715;3617246;321715;163440;101;1;;;30/09/2025 01:06;30/09/2025 01:12;30/09/2025 01:47;3;3;3;YURE.OLIVEIRA;MARCIOS;1;558763;PAPELAO;110459;20;PAPELAO;47627;7898276630747;PESADO;PEÇA;
601281;PARAF.SEXT.ZINCADO 1/4x1.1/2           C/200-06716;F;F;;13257;0000321745;3618311;060165;153727;1;1;;;30/09/2025 01:07;30/09/2025 01:17;30/09/2025 02:35;1;1;1;ALISON.PEREIRA;CHECK_WEIGHT;2;558864;PLASTICA;110459;2;PLASTICA;47632;7892183067160;PESADO;CAIXA;
601282;PISTOLA P/APL.SILICONE 9" REFORCADA      311111-HF;F;F;;23726;0000321745;3618311;060165;150278;5;1;;;30/09/2025 01:07;30/09/2025 01:29;30/09/2025 02:35;1;1;1;GUSTAVO.SANTANA;CHECK_WEIGHT;2;558869;PLASTICA;110459;2;PLASTICA;47632;7893595620240;PESADO;PEÇA;
601284;TRENA 03M/10"                    KTS12-3M-STARRETT;F;F;;10249;0000321745;3618311;060165;157751;9;1;;;30/09/2025 01:07;30/09/2025 01:36;30/09/2025 02:35;2;2;2;ARTHUR.SILVA;CHECK_WEIGHT;2;558872;PLASTICA;110459;2;PLASTICA;47632;7891265331014;PESADO;PEÇA;
601283;TRINCO CHATO  95mmx50mm Nº3                  -INCA;F;F;;1859;0000321745;3618311;060165;150362;6;1;;;30/09/2025 01:07;30/09/2025 01:32;30/09/2025 02:35;1;1;1;GUSTAVO.SANTANA;CHECK_WEIGHT;2;558870;PLASTICA;110459;2;PLASTICA;47632;7893537001557;PESADO;CAIXA;
601286;FILTRO P/Cx.D'AGUA/CAVALETE 9.3/4"           HIDRO;F;F;;22078;0000321745;3618311;060165;151647;11;1;;;30/09/2025 01:07;30/09/2025 01:57;30/09/2025 02:35;3;0;0;YAN.PABLO;CHECK_WEIGHT;2;558877;PLASTICA;110459;2;PLASTICA;47632;7896811106535;PESADO;PEÇA;
601285;PARAF.SEXT.ZINCADO 1/4x2               C/200-06719;F;F;;13259;0000321745;3618311;060165;154839;10;1;;;30/09/2025 01:07;30/09/2025 01:43;30/09/2025 02:35;1;1;1;ARTHUR.SILVA;CHECK_WEIGHT;2;558873;PLASTICA;110459;2;PLASTICA;47632;7892183067191;PESADO;CAIXA;
